Animal,timepoint,source,cell.type,cell.numbers,total_reads,Mapped Reads (%)
ZJ31,63m,PB,T,100000,4000000,86.638475
ZJ31,73.5m,PB,T,100000,4000000,86.0622
ZJ31,75m,PB,T,100000,4000000,75.9761
ZJ31,63m,BAL,T,100000,4000000,91.1484
ZJ31,73.5m,BAL,T,89000,4000000,89.48525
ZJ31,75m,BAL,T,32000,4000000,89.6436
ZJ31,63m,Liver,T,3000,4000000,73.59635
ZJ31,73.5m,Liver,T,42000,4000000,86.91855
ZJ31,76m,Liver,T,100000,4000000,87.5461
ZJ31,73.5m,Spleen,T,100000,4000000,88.254425
ZJ31,73.5m,Jejunum,T,41000,4000000,72.8298
ZJ31,75m,Jejunum,T,17800,4000000,70.8716
ZJ31,76m,Jejunum,T,130000,4000000,87.460225
ZJ31,73.5m,Colon,T,55000,4000000,87.74395
ZJ31,75m,Colon,T,4000,4000000,88.4618
ZJ31,76m,Colon,T,56000,4000000,89.727
ZK22,62m,PB,T,100000,4000000,86.0686
ZK22,63m,PB,T,100000,4000000,85.9364
ZK22,62m,BAL,T,5000,1757301,84.30274609
ZK22,63m,BAL,T,4000,4000000,81.818275
ZK22,62m,Liver,T,41000,4000000,84.110625
ZK22,63m,Liver,T,59000,4000000,85.39835
ZK22,62m,Spleen,T,100000,4000000,85.7223
ZK22,63m,Spleen,T,100000,4000000,86.2087
ZK22,62m,Colon,T,5500,2097125,69.06593551
ZK22,62m,Jejunum,T,12000,4000000,84.553725
ZK22,63m,Jejunum,T,2000,4000000,81.953575
A9E016,4m,PB,T,250000,4000000,88.3643
A9E016,4m,Lung3,T,100000,4000000,93.237725
A9E016,4m,Liver4,T,250000,4000000,34.69845
A9E016,4m,Liver5,T,250000,4000000,76.27155
A9E016,4m,Spleen1,T,200000,4000000,62.342
A9E016,4m,Spleen2,T,250000,3677108,57.193588
ZG66,104.5m,PB,T,100000,4000000,47.374825
ZG66,106m,PB,T,100000,4000000,84.53235
ZG66,104.5m,BAL,T,180000,4000000,45.943375
ZG66,106m,BAL,T,43000,2433726,87.03362663
ZG66,104.5m,Liver,T,1000-100000,4000000,84.688925
ZG66,106m,Liver,T,24000,2145649,82.24402034
ZG66,104.5m,Spleen,T,100000,573345,47.22758549
ZG66,106m,Spleen,T,149000,4000000,50.995825
ZG66,106m,Jejunum,T,9000,3173543,75.66609307
JM82,45.5m,PB,T,100000,4000000,90.90235
JM82,47m,PB,T,100000,3658552,90.69342188
JM82,48m,PB,T,100000,4000000,91.0482
JM82,46m,BAL,T,30000,4000000,93.669725
JM82,49m,BAL,T,1000-100000,4000000,96.464825
JM82,46m,Liver,T,17000,3514953,86.85205748
JM82,49m,Liver,T,1000-100000,4000000,91.8276
JM82,49m,Spleen,T,1000-100000,4000000,91.5812
JM82,49.5m,Colon,T,1000-100000,4000000,84.429325
JM82,46m,Jejunum,T,5000,4000000,89.4684
JM82,49.5m,Jejunum,T,1000-100000,4000000,90.017275
