SAMPLENAME	old_samplename	Animal	months	Timepoint	old_cell_type	cell_type	Experiment	source	old_source	MAPPED	READS	MAP_percent	THRESH	LIBID	bc_length	max_mismatch_combined
A9E016_4m_PB_T_CD3p_20151201_pp_50trim_CD116_R24_multiadded.fastq	A9E016_4m_PB_T_CD3p_20151201_pp_50trim_CD116_R24_multiadded.fastq	A9E016	4m	4	T	T	PB T	PB	PB	3534572	4000000	88.3643	100	GAGTTC	27	2
A9E016_4m_20151130_T_Lung3__CD204_sampled_i512_25_S23_L001_R1_001.fastq	A9E016_4m_20151130_T_Lung3__CD204_sampled_i512_25_S23_L001_R1_001.fastq	A9E016	4m	4	T	T	BAL T	BAL	Lung3	3729509	4000000	93.237725	100	GAGTTC	27	2
A9E016_4m_Liver4_T_CD3_20151201_pp_50trim_CD122_R1.fastq	A9E016_4m_Liver4_T_CD3_20151201_pp_50trim_CD122_R1.fastq	A9E016	4m	4	T	T	Liver T	Liver	Liver4	1387938	4000000	34.69845	100	GAGTTC	27	2
A9E016_4m_Liver5_T_20151201_pp_50trim_CD117_R22.fastq	A9E016_4m_Liver5_T_20151201_pp_50trim_CD117_R22.fastq	A9E016	4m	4	T	T	Liver T	Liver	Liver5	3050862	4000000	76.27155	100	GAGTTC	27	2
A9E016_4m_Spleen1_T_CD3p_sort2_20151201_pp_50trim_CD121_R12.fastq	A9E016_4m_Spleen1_T_CD3p_sort2_20151201_pp_50trim_CD121_R12.fastq	A9E016	4m	4	T	T	Spleen T	Spleen	Spleen1	2493680	4000000	62.342	100	GAGTTC	27	2
A9E016_4m_Spleen2_T_CD3p_SORT2_20151201_pp_50trim_CD120_R8.fastq	A9E016_4m_Spleen2_T_CD3p_SORT2_20151201_pp_50trim_CD120_R8.fastq	A9E016	4m	4	T	T	Spleen T	Spleen	Spleen2	2103070	3677108	57.193588	100	GAGTTC	27	2
A9E016_4m_20151130_B_PB__CD203_sampled_i512_32_S27_L002_R1_001.fastq	A9E016_4m_20151130_B_PB__CD203_sampled_i512_32_S27_L002_R1_001.fastq	A9E016	4m	4	B	B	PB B	PB	PB	3304431	4000000	82.610775	100	GAGTTC	27	2
A9E016_4m_20151130_B_Lung3__CD204_sampled_i512_26_S24_L001_R1_001.fastq	A9E016_4m_20151130_B_Lung3__CD204_sampled_i512_26_S24_L001_R1_001.fastq	A9E016	4m	4	B	B	BAL B	BAL	Lung3	3309729	4000000	82.743225	100	GAGTTC	27	2
A9E016_4m_Liver4_B_CD20_20151201_pp_50trim_CD122_R4.fastq	A9E016_4m_Liver4_B_CD20_20151201_pp_50trim_CD122_R4.fastq	A9E016	4m	4	B	B	Liver B	Liver	Liver4	1165029	2426756	48.0076695	100	GAGTTC	27	2
A9E016_4m_Liver5_B_CD20_resequenced_20151201_pp_50trim_CD122_R23.fastq	A9E016_4m_Liver5_B_CD20_resequenced_20151201_pp_50trim_CD122_R23.fastq	A9E016	4m	4	B	B	Liver B	Liver	Liver5	2628424	4000000	65.7106	100	GAGTTC	27	2
A9E016_4m_Spleen1_B_CD20p_20151201_pp_50trim_CD120_R2.fastq	A9E016_4m_Spleen1_B_CD20p_20151201_pp_50trim_CD120_R2.fastq	A9E016	4m	4	B	B	Spleen B	Spleen	Spleen1	2785109	4000000	69.627725	100	GAGTTC	27	2
A9E016_4m_Spleen2_B_CD20_sort2_20151201_pp_50trim_CD121_R9.fastq	A9E016_4m_Spleen2_B_CD20_sort2_20151201_pp_50trim_CD121_R9.fastq	A9E016	4m	4	B	B	Spleen B	Spleen	Spleen2	2730983	4000000	68.274575	100	GAGTTC	27	2
pp_50trim_A9E016_3m_2015_10_27__Gr__CD33p_CD115.fastq	pp_50trim_A9E016_3m_2015_10_27__Gr__CD33p_CD115.fastq	A9E016	3m	3	Gr	Gr	PB Gr	PB	PB	2650341	3252337	81.49035601	100	GAGTTC	27	2
A9E016_4m_PB_Mono_20151201_pp_50trim_CD119_R21.fastq	A9E016_4m_PB_Mono_20151201_pp_50trim_CD119_R21.fastq	A9E016	4m	4	Monocyte	Gr	PB Gr	PB	PB	1437813	4000000	35.945325	100	GAGTTC	27	2
