SAMPLENAME	Monkey	Timepoint	Month..round.	Year	Month	Day	Cell.Type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID
ZG66_104hm_2021817_T_PB__CD210_sampled_i512_36_S28_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	T	PB	NA	CD210	ZG66 104hm 2021817 T PB  CD210	1894993	4000000	47.374825	100	GTAGCC
ZG66_106m_2021928_T_PB__CD211_sampled_i512_32_S26_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	T	PB	NA	CD211	ZG66 106m 2021928 T PB  CD211	3381294	4000000	84.53235	100	GTAGCC
ZG66_104hm_2021817_T_BAL__CD210_sampled_i512_32_S25_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	T	BAL	NA	CD210	ZG66 104hm 2021817 T BAL  CD210	1837735	4000000	45.943375	100	GTAGCC
ZG66_106m_2021928_T_BAL__CD212_sampled_i512_20_S19_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	T	BAL	NA	CD212	ZG66 106m 2021928 T BAL  CD212	2118160	2433726	87.03362663	100	GTAGCC
ZG66_104hm_2021817_T_Liver__CD210_sampled_i512_17_S15_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	T	Liver	NA	CD210	ZG66 104hm 2021817 T Liver  CD210	3387557	4000000	84.688925	100	GTAGCC
ZG66_106m_2021928_T_liver__CD212_sampled_i512_15_S15_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	T	Liver	NA	CD212	ZG66 106m 2021928 T liver  CD212	1764668	2145649	82.24402034	100	GTAGCC
ZG66_104hm_2021817_T_spleen_repeat_CD212_sampled_i512_16_S16_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	T	Spleen	repeat	CD212	ZG66 104hm 2021817 T spleen repeat CD212	270777	573345	47.22758549	100	GTAGCC
ZG66_106m_2021928_T_spleen__CD212_sampled_i512_11_S11_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	T	Spleen	NA	CD212	ZG66 106m 2021928 T spleen  CD212	2039833	4000000	50.995825	100	GTAGCC
ZG66_106m_2021928_T_jejunum__CD212_sampled_i512_25_S23_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	T	Jejunum	NA	CD212	ZG66 106m 2021928 T jejunum  CD212	2401296	3173543	75.66609307	100	GTAGCC
ZG66_104hm_2021817_Gr_PB__CD210_sampled_i512_35_S27_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	Gr	PB	NA	CD210	ZG66 104hm 2021817 Gr PB  CD210	3675469	4000000	91.886725	100	GTAGCC
ZG66_106m_2021928_Gr_PB__CD211_sampled_8bp_i502_S35_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	Gr	PB	NA	CD211	ZG66 106m 2021928 Gr PB  CD211	3500775	4000000	87.519375	100	GTAGCC
ZG66_104hm_2021817_B_PB__CD210_sampled_i512_37_S29_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	B	PB	NA	CD210	ZG66 104hm 2021817 B PB  CD210	3401094	4000000	85.02735	100	GTAGCC
ZG66_106m_2021928_B_PB__CD211_sampled_i512_33_S27_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	B	PB	NA	CD211	ZG66 106m 2021928 B PB  CD211	3503991	4000000	87.599775	100	GTAGCC
ZG66_104hm_2021817_B_BAL__CD210_sampled_i512_22_S19_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	B	BAL	NA	CD210	ZG66 104hm 2021817 B BAL  CD210	2087198	3432661	60.80408173	100	GTAGCC
ZG66_104hm_2021817_B_Spleen__CD210_sampled_i512_28_S23_L002_R1_001.fastq	ZG66	104.5	104hm	2021	8	17	B	Spleen	NA	CD210	ZG66 104hm 2021817 B Spleen  CD210	3561809	4000000	89.045225	100	GTAGCC
ZG66_106m_2021928_B_spleen__CD212_sampled_i512_12_S12_L002_R1_001.fastq	ZG66	106	106m	2021	9	28	B	Spleen	NA	CD212	ZG66 106m 2021928 B spleen  CD212	3545007	3931819	90.16200898	100	GTAGCC
