Animal,timepoint,source,cell.type,cell.numbers,total_reads,Mapped Reads (%)
ZJ31,63m,PB,Gr,100000,4000000,79.63405
ZJ31,73.5m,PB,Gr,100000,4000000,87.2954
ZJ31,75m,PB,Gr,100000,4000000,88.9388
ZJ31,63m,PB,B,100000,4000000,85.880125
ZJ31,73.5m,PB,B,100000,4000000,86.544425
ZJ31,75m,PB,B,100000,4000000,88.1513
ZJ31,75m,BAL,B,3200,505133,43.22049836
ZJ31,73.5m,Liver,B,2000,4000000,87.3452
ZJ31,76m,Liver,B,8000,4000000,87.83415
ZJ31,73.5m,Spleen,B,100000,4000000,87.514975
ZJ31,73.5m,Jejunum,B,2000,4000000,84.625675
ZJ31,75m,Jejunum,B,5000,3997852,87.54358591
ZJ31,76m,Jejunum,B,5000,4000000,88.2693
ZJ31,73.5m,Colon,B,13000,4000000,86.1876
ZJ31,76m,Colon,B,8000,4000000,81.007575
JM82,47m,PB,Gr,100000,4000000,90.119275
JM82,48m,PB,Gr,100000,4000000,89.9585
JM82,45.5m,PB,B,100000,4000000,89.656525
JM82,47m,PB,B,100000,4000000,90.549125
JM82,46m,BAL,B,2000,1418236,87.31692046
JM82,49m,BAL,B,1000-100000,4000000,88.27485
JM82,46m,Liver,B,2000,4000000,90.899375
JM82,49m,Liver,B,1000-100000,3500469,86.61085129
JM82,49m,Spleen,B,1000-100000,3388262,81.90030759
JM82,49.5m,Jejunum,B,1000-100000,4000000,90.2562
JM82,49.5m,Colon,B,1000-100000,4000000,89.309825
ZG66,104.5m,PB,Gr,100000,4000000,91.886725
ZG66,106m,PB,Gr,100000,4000000,87.519375
ZG66,104.5m,PB,B,100000,4000000,85.02735
ZG66,106m,PB,B,100000,4000000,87.599775
ZG66,104.5m,BAL,B,1000-100000,3432661,60.80408173
ZG66,104.5m,Spleen,B,100000,4000000,89.045225
ZG66,106m,Spleen,B,65000,3931819,90.16200898
ZG66,106m,Colon,B,17000,3651650,85.610943
ZK22,62m,PB,Gr,100000,4000000,85.8075
ZK22,62.5m,PB,Gr,100000,4000000,84.51605
ZK22,62m,PB,B,100000,4000000,85.351725
ZK22,63m,PB,B,100000,4000000,84.5602
ZK22,62m,Liver,B,6500,4000000,81.955775
ZK22,63m,Liver,B,9000,4000000,83.40195
ZK22,62m,Spleen,B,100000,4000000,85.544975
ZK22,63m,Spleen,B,100000,4000000,86.27335
A9E016,3m,PB,Gr,250000,3252337,81.49035601
A9E016,4m,PB,Gr,250000,4000000,35.945325
A9E016,4m,PB,B,250000,4000000,82.610775
A9E016,4m,BAL,B,100000,4000000,82.743225
A9E016,4m,Liver,B,250000,4000000,65.7106
A9E016,4m,Spleen,B,200000,4000000,69.627725
,,,,,,
