Animal,timepoint,source,cell.type,cell.numbers,total_reads,mapped_reads_percent
ZJ31,63m,PB,Gr,100000,4000000,79.63405
ZJ31,73.5m,PB,Gr,100000,4000000,87.2954
ZJ31,75m,PB,Gr,100000,4000000,88.9388
ZJ31,63m,PB,CD16p,100000,4000000,85.47845
ZJ31,73.5m,PB,CD16p,100000,4000000,87.8429
ZJ31,75m,PB,CD16p,100000,3778553,86.28673463
ZJ31,76m,PB,CD16p,100000,4000000,88.487275
ZJ31,63m,PB,CD56p,2400,4000000,87.737875
ZJ31,73.5m,PB,CD56p,8600,4000000,87.5623
ZJ31,75m,PB,CD56p,14000,4000000,88.04845
ZJ31,76m,PB,CD56p,112000,4000000,87.903725
ZJ31,51m,PB,DN,NA,4000000,83.97605
ZJ31,76m,PB,DN,280000,4000000,88.4912
ZJ31,75m,BAL,bulk_NK,2700,217482,40.0704426
ZJ31,73.5m,Liver,bulk_NK,9000,4000000,87.519825
ZJ31,76m,Liver,bulk_NK,5000,4000000,86.6598
ZJ31,73.5m,Spleen,bulk_NK,89000,4000000,86.97365
ZJ31,73.5m,Jejunum,bulk_NK,7000,4000000,85.732075
ZJ31,75m,Jejunum,bulk_NK,2000,466118,59.7183546
ZK22,62m,PB,Gr,1.00E+05,4000000,85.8075
ZK22,62.5m,PB,Gr,1.00E+05,4000000,84.51605
ZK22,62m,PB,CD16p,133000,4000000,87.952725
ZK22,63m,PB,CD16p,1.00E+05,4000000,87.05945
ZK22,63m,PB,CD56p,3300,3618986,56.03774096
ZK22,62m,PB,DN,7400,2035961,77.97099257
ZK22,63m,PB,DN,18400,4000000,88.257475
ZK22,62m,Liver,bulk_NK,26800,4000000,85.613975
ZK22,63m,Liver,bulk_NK,18000,4000000,87.153975
ZK22,62m,Spleen,bulk_NK,1.00E+05,4000000,86.61245
ZK22,63m,Spleen,bulk_NK,10000,4000000,87.3726
JM82,47m,PB,Gr,100000,4000000,90.119275
JM82,48m,PB,Gr,100000,4000000,89.9585
JM82,45.5m,PB,CD16p,198000,4000000,88.44175
JM82,48.5m,PB,CD16p,262000,4000000,84.806725
JM82,45.5m,PB,CD56p,2000,4000000,89.18765
JM82,48.5m,PB,CD56p,5600,4000000,89.804425
JM82,48.5m,PB,DN,10000,4000000,91.50295
JM82,49m,BAL,bulk_NK,1000-100000,4000000,96.156975
JM82,46m,Liver,bulk_NK,7000,2186429,91.24494781
ZG66,104.5m,PB,Gr,100000,4000000,91.886725
ZG66,106m,PB,Gr,100000,4000000,87.519375
ZG66,104.5m,PB,CD16p,100000,4000000,43.890975
ZG66,106m,PB,CD16p,198000,4000000,64.947675
ZG66,104.5m,PB,CD56p,4500,4000000,6.88355
ZG66,106m,PB,CD56p,3109,3431704,81.3662542
ZG66,104.5m,PB,DN,13400,4000000,4.5182
ZG66,106m,PB,DN,7108,4000000,53.505175
ZG66,104.5m,BAL,bulk_NK,1000-100000,3683615,23.23692894
ZG66,104.5m,Liver,bulk_NK,1000-100000,3819939,28.60113735
ZG66,104.5m,Spleen,bulk_NK,1000-100000,4000000,39.88725
ZG66,106m,Spleen,bulk_NK,15000,3255589,45.37569085
